Ensembl_id chr start end gene order expression
ENSMUST00000194709.1 1 13846870 13849119 Gm36947 401 0
ENSMUST00000158733.1 1 13932377 13932685 Gm25491 402 0
ENSMUST00000193148.1 1 14109214 14112819 Gm37400 403 0
ENSMUST00000027066.12 1 14168953 14310200 Eya1 404 0
ENSMUST00000179783.1 1 14182577 14182677 Gm22616 408 0
ENSMUST00000193605.1 1 14255551 14255990 Gm37444 411 0
ENSMUST00000187401.1 1 14752936 14776931 Gm9947 415 0
ENSMUST00000027062.6 1 14753345 14755990 Msc 416 0
ENSMUST00000194866.1 1 14788644 14792965 Gm37412 421 0
ENSMUST00000121569.1 1 14839868 14840156 Smt3h2-ps4 422 0
ENSMUST00000121367.1 1 14865071 14865965 Rpl5-ps1 423 0
ENSMUST00000041447.4 1 14872647 14918862 Trpa1 424 0
ENSMUST00000157534.1 1 15019039 15019159 Gm26345 426 0
ENSMUST00000086739.5 1 15268801 15269797 Gm10566 427 0
ENSMUST00000175681.2 1 15287253 15712548 Kcnb2 428 0
ENSMUST00000193873.1 1 15364301 15365834 Gm38116 430 0
ENSMUST00000194564.1 1 15556248 15558337 Gm37138 431 0
ENSMUST00000158204.1 1 15685934 15686046 Gm25227 432 0
ENSMUST00000104189.1 1 15757831 15757963 Gm25168 433 0
ENSMUST00000188671.1 1 15760121 15760668 Gm6060 434 0
ENSMUST00000188400.1 1 15760760 15760860 Gm28669 435 0
ENSMUST00000188371.6 1 15805645 15844052 Terf1 436 0
ENSMUST00000194867.1 1 15853330 15856499 Gm37509 440 0
ENSMUST00000040695.4 1 15853861 15892722 Sbspon 441 0
ENSMUST00000158318.1 1 15879529 15879832 Gm23259 442 0
ENSMUST00000185778.1 1 16053334 16053887 Gm7634 443 0
ENSMUST00000115367.7 1 16065978 16081212 4930444P10Rik 444 0
ENSMUST00000140597.7 1 16101294 16102082 Rpl7 447 0
ENSMUST00000027053.7 1 16105773 16133734 Rdh10 453 0
ENSMUST00000192560.1 1 16208196 16210517 Gm38249 455 0
ENSMUST00000186343.1 1 16228505 16244062 Gm28095 456 0
ENSMUST00000162751.7 1 16228673 16519306 Stau2 457 0
ENSMUST00000161626.1 1 16253591 16258861 Gm7568 462 0
ENSMUST00000182554.8 1 16540789 16619312 Ube2w 477 0
ENSMUST00000195710.1 1 16618559 16621539 Gm38342 484 0
ENSMUST00000188641.6 1 16641724 16656884 Eloc 485 0
ENSMUST00000181371.1 1 16657551 16662278 D030040B21Rik 496 0
ENSMUST00000186738.1 1 16662979 16663662 Gm7654 497 0
ENSMUST00000177501.1 1 16665206 16678195 Tmem70 498 0
ENSMUST00000191260.1 1 16688050 16691947 Ly96 502 0
ENSMUST00000185649.1 1 16758204 16758623 Gm29649 505 0
ENSMUST00000071842.9 1 16768278 16770138 Gm5828 506 0
ENSMUST00000186604.1 1 16898184 17091631 Gm28376 507 0
ENSMUST00000194790.1 1 16930969 16931796 4921511E07Rik 508 0
ENSMUST00000186024.1 1 16964559 17004219 Jph1 509 0
ENSMUST00000188872.1 1 17124746 17128956 Gm28783 511 0
ENSMUST00000026879.7 1 17145361 17164271 Gdap1 512 0
ENSMUST00000187817.1 1 17168402 17173103 Gm28784 516 0
ENSMUST00000187478.1 1 17250113 17250492 Gm28785 517 0
ENSMUST00000188959.1 1 17394957 17395429 Gm5251 518 0
ENSMUST00000186192.1 1 17397411 17400281 Rbm6-ps1 519 0
ENSMUST00000186816.1 1 17429042 17429528 Gm6075 520 0
ENSMUST00000158909.1 1 17520000 17520111 Gm25166 521 0
ENSMUST00000088476.3 1 17601900 17630939 Pi15 522 0
ENSMUST00000186267.1 1 17615083 17641081 Gm28154 523 0
ENSMUST00000155588.7 1 17676026 17727284 Gm16070 524 0
ENSMUST00000159958.7 1 17727044 17765575 Crispld1 527 0
ENSMUST00000189853.1 1 17741914 17805417 Gm28153 530 0
ENSMUST00000190885.1 1 17947040 17948439 Gm7690 531 0
ENSMUST00000190763.1 1 17993009 17999622 Gm18775 532 0
ENSMUST00000185706.1 1 17993812 17997483 Gm17969 533 0
ENSMUST00000209898.1 1 17994461 18035002 Gm28756 534 0
ENSMUST00000185773.1 1 18005960 18016186 Gm28755 536 0
ENSMUST00000188360.1 1 18048099 18058269 Gm45784 538 0
ENSMUST00000130669.1 1 18115190 18145896 Crisp4 539 0
ENSMUST00000126871.1 1 18210052 18223564 Defb44-ps 543 0
ENSMUST00000097818.1 1 18236472 18237443 Defb18 544 0
ENSMUST00000088463.1 1 18250979 18265138 Defb41 545 0
ENSMUST00000186435.1 1 18262394 18263379 Gm17837 547 0
ENSMUST00000189030.1 1 18708427 18709336 Gm5252 548 0
ENSMUST00000158175.1 1 18969761 18969833 Gm24075 549 0
ENSMUST00000185386.1 1 19037265 19037377 Gm28343 550 0
ENSMUST00000185704.1 1 19062856 19063135 Gm28344 551 0
ENSMUST00000159108.2 1 19063299 19104840 Gm15825 552 0
ENSMUST00000037294.7 1 19103021 19166346 Tfap2d 553 0
ENSMUST00000162030.1 1 19153421 19153966 Gm10075 555 0
ENSMUST00000027059.10 1 19208913 19238576 Tfap2b 556 0
ENSMUST00000189218.1 1 19242724 19243769 Gm28340 561 0
ENSMUST00000190883.1 1 19320225 19320697 Gm28341 562 0
ENSMUST00000188428.1 1 19330938 19333184 Gm4849 563 0
ENSMUST00000122719.1 1 19513854 19513919 Gm24633 564 0
ENSMUST00000193790.1 1 19614268 19616767 Gm38382 565 0
ENSMUST00000088448.11 1 20057778 20618064 Pkhd1 566 0
ENSMUST00000194347.1 1 20062069 20065548 Gm37315 567 0
ENSMUST00000161509.2 1 20356451 20392300 4930486I03Rik 568 0
ENSMUST00000160969.2 1 20444257 20444810 Gm15795 570 0
ENSMUST00000093665.1 1 20444810 20444912 Gm24162 571 0
ENSMUST00000227082.1 1 20669881 20682958 Gm28653 574 0
ENSMUST00000083625.1 1 20679009 20679082 Mir206 575 0
ENSMUST00000083546.1 1 20682768 20682887 Mir133b 577 0
ENSMUST00000027061.4 1 20730904 20734496 Il17a 578 0
ENSMUST00000039046.9 1 20777145 20784270 Il17f 579 0
ENSMUST00000053266.10 1 20802967 20820312 Mcm3 583 0
ENSMUST00000186367.1 1 20821330 20822516 Gm20587 588 0
ENSMUST00000185290.1 1 20836660 20839689 Gm28065 589 0
ENSMUST00000158233.1 1 20842534 20842666 Gm24723 590 0
ENSMUST00000181654.1 1 20888649 20890473 6720483E21Rik 591 0
ENSMUST00000189400.6 1 20890605 20939650 Paqr8 592 0
ENSMUST00000104126.1 1 20915409 20915540 Gm24171 593 0
ENSMUST00000185639.1 1 20945710 20946914 Gm28064 597 0
ENSMUST00000160782.1 1 20951625 20955527 Efhc1 598 0
ENSMUST00000037998.5 1 20996298 21079229 Tram2 600 0
ENSMUST00000186612.1 1 21080113 21081748 Gm28287 602 0
ENSMUST00000189119.1 1 21178987 21187427 Gm2693 603 0
ENSMUST00000027065.11 1 21218574 21230167 Tmem14a 604 0
ENSMUST00000191648.1 1 21234721 21236821 Gm38224 606 0
ENSMUST00000027067.14 1 21240588 21265661 Gsta3 607 0
ENSMUST00000185842.1 1 21250358 21271593 Gm28836 610 0
ENSMUST00000178379.2 1 21272402 21272906 Gm7094 612 0
ENSMUST00000082032.12 1 21285245 21298312 Gm4956 613 0
ENSMUST00000178260.1 1 21312516 21316320 Gm21909 616 0
ENSMUST00000088407.3 1 21349640 21352200 Khdc1a 617 0
ENSMUST00000148174.1 1 21354004 21355116 Gm16329 618 0
ENSMUST00000137146.1 1 21364802 21365030 Gm16327 619 0
ENSMUST00000070223.5 1 21368330 21370845 Khdc1c 620 0
ENSMUST00000142979.1 1 21372669 21373764 Gm2709 621 0
ENSMUST00000140035.1 1 21379554 21379782 Gm16533 622 0
ENSMUST00000147615.1 1 21383555 21386373 Khdc1b 623 0
ENSMUST00000126985.2 1 21390905 21391101 Gm16328 624 0
ENSMUST00000029667.12 1 21398402 21961581 Kcnq5 625 0
ENSMUST00000192487.1 1 21454690 21457017 Gm36949 630 0
ENSMUST00000119064.1 1 21511932 21513056 Gm7658 632 0
ENSMUST00000194737.1 1 21838947 21840514 Gm38243 634 0
ENSMUST00000189850.1 1 22030063 22030615 Gm5696 635 0
ENSMUST00000190225.1 1 22237848 22238295 Gm28239 636 0
ENSMUST00000081544.12 1 22286250 22805724 Rims1 637 0
ENSMUST00000180414.1 1 22740763 22741565 Gm26866 646 0
ENSMUST00000190510.1 1 22984862 22987125 Gm7761 647 0
ENSMUST00000191045.1 1 23048294 23235673 Gm29506 648 0
ENSMUST00000073179.5 1 23100472 23102253 4933415F23Rik 649 0
ENSMUST00000158928.1 1 23245210 23245331 Gm24176 650 0
ENSMUST00000193885.1 1 23255684 23256407 Gm6420 651 0
ENSMUST00000083471.3 1 23272268 23272339 Mir30a 653 0
ENSMUST00000182303.1 1 23291536 23291935 Gm27028 654 0
ENSMUST00000083633.1 1 23291700 23291784 Mir30c-2 655 0
ENSMUST00000190910.1 1 23293728 23294075 Gm29107 656 0
ENSMUST00000189078.1 1 23345955 23346599 Gm20954 657 0
ENSMUST00000027343.5 1 23366423 23383175 Ogfrl1 658 0
ENSMUST00000180769.1 1 23479538 23480527 Gm7784 662 0
ENSMUST00000191140.1 1 23574586 23596664 Gm28822 663 0
ENSMUST00000144602.1 1 23761752 23815740 B3gat2 664 0
ENSMUST00000149737.7 1 23844845 23909736 Smap1 667 0
ENSMUST00000027338.3 1 23995938 24005656 Sdhaf4 674 0
ENSMUST00000192339.1 1 24005504 24005894 Gm26524 676 0
ENSMUST00000187619.6 1 24011092 24026759 Fam135a 678 0
ENSMUST00000192408.1 1 24100624 24103424 Gm37580 687 0
ENSMUST00000180661.1 1 24125274 24126141 Gm26607 688 0
ENSMUST00000054588.14 1 24177609 24252684 Col9a1 689 0
ENSMUST00000144297.1 1 24261889 24452745 Col19a1 693 0
ENSMUST00000104275.1 1 24548840 24548977 Gm26418 696 0
ENSMUST00000187481.1 1 24594086 24595423 Tubb4b-ps2 697 0
ENSMUST00000187714.1 1 24611534 24612410 Gm28439 698 0
ENSMUST00000088336.2 1 24612406 24612700 Gm10222 699 0
ENSMUST00000188299.1 1 24612774 24613119 Gm28438 700 0
ENSMUST00000190277.1 1 24613188 24613971 Gm28437 701 0
ENSMUST00000189941.1 1 24613973 24614651 Gm10925 702 0
ENSMUST00000188231.1 1 24614884 24615565 Gm28661 703 0
ENSMUST00000187117.1 1 24615705 24616197 Gm29216 704 0
ENSMUST00000191471.6 1 24678629 24765448 Lmbrd1 705 0
ENSMUST00000187022.1 1 24910460 24911659 Gm28594 711 0
ENSMUST00000186563.1 1 24963208 24964976 Gm28237 712 0
ENSMUST00000188406.1 1 25011940 25012756 Gm9443 714 0
ENSMUST00000185379.1 1 25026580 25027232 Gm29414 715 0
ENSMUST00000126626.7 1 25067475 25228826 Adgrb3 716 0
ENSMUST00000119680.1 1 25223729 25224173 Gm15702 726 0
ENSMUST00000193138.1 1 25276403 25277954 Gm20172 727 0
ENSMUST00000178643.1 1 25279444 25279551 Gm22260 728 0
ENSMUST00000192443.1 1 25284217 25285248 Gm37543 729 0
ENSMUST00000192367.1 1 25296511 25299886 Gm37331 730 0
ENSMUST00000193392.1 1 25314275 25317708 Gm37211 731 0
ENSMUST00000193079.1 1 25325865 25328398 Gm37862 732 0
ENSMUST00000195128.1 1 25345977 25349082 Gm38286 733 0
ENSMUST00000192216.1 1 25362563 25365820 Gm37880 734 0
ENSMUST00000122791.1 1 25451070 25451174 Gm25294 735 0
ENSMUST00000195543.1 1 25608249 25611184 Gm37011 737 0
ENSMUST00000190216.1 1 25614945 25615515 Gm29214 738 0
ENSMUST00000194535.1 1 25620237 25623180 Gm37051 739 0
ENSMUST00000193573.1 1 25672244 25676239 Gm38260 740 0
ENSMUST00000194644.1 1 25686061 25691501 Gm37628 741 0
ENSMUST00000192614.1 1 25722037 25724778 8030445P17Rik 742 0
ENSMUST00000191772.1 1 25735388 25738969 Gm38198 743 0
ENSMUST00000195723.1 1 25755342 25759033 Gm37077 744 0
ENSMUST00000192448.1 1 25775756 25780306 Gm37895 745 0
ENSMUST00000194923.1 1 25797280 25800905 Gm36952 746 0
ENSMUST00000195187.1 1 25804096 25807406 Gm37602 747 0
ENSMUST00000193912.1 1 25808955 25809972 2900022M07Rik 748 0
ENSMUST00000195754.1 1 25824389 25824719 2900002M20Rik 749 0
ENSMUST00000194343.1 1 25830656 25831878 Gm9884 750 0
ENSMUST00000185358.1 1 25996603 25997159 Gm18443 751 0
ENSMUST00000190716.1 1 26466235 26466886 Gm19123 752 0
ENSMUST00000157486.1 1 26566832 26566938 Gm24064 753 0
ENSMUST00000097801.3 1 26681813 26687460 4931408C20Rik 754 0
ENSMUST00000179494.1 1 26959102 26959221 n-R5s209 755 0
ENSMUST00000188432.1 1 27336351 27336768 Gm19641 756 0
ENSMUST00000185409.1 1 27884045 27902396 Gm5524 757 0
ENSMUST00000188833.1 1 27900418 27901072 Gm18776 758 0
ENSMUST00000189614.1 1 27989909 27991782 Gm19028 759 0
ENSMUST00000193585.1 1 28569917 28571431 Gm38089 760 0
ENSMUST00000145844.2 1 28580498 28580772 Gm7846 761 0
ENSMUST00000059937.4 1 28776116 28780252 Gm597 762 0
ENSMUST00000122295.2 1 28800239 28802721 Gm5697 763 0
ENSMUST00000081488.2 1 28938035 28938339 Gm6462 764 0
ENSMUST00000186678.1 1 29219699 29220249 Gm18033 765 0
ENSMUST00000082499.1 1 29280963 29281075 Gm25586 766 0
ENSMUST00000116975.1 1 29301479 29301579 Gm22679 767 0
ENSMUST00000116741.1 1 29361274 29361370 Gm23785 768 0
ENSMUST00000183870.1 1 29421487 29421612 Mir6342 769 0
ENSMUST00000190438.1 1 29484603 29485915 Gm5525 770 0
ENSMUST00000239107.1 1 29813153 29814438 AC125120.1 771 0
ENSMUST00000190177.1 1 29930093 29930715 Gm7858 772 0
ENSMUST00000178702.1 1 29985933 29986043 Gm23771 773 0
ENSMUST00000184585.1 1 30333290 30333397 Gm27430 774 0
ENSMUST00000065469.2 1 30718559 30719962 Gm9898 775 0
ENSMUST00000188572.1 1 30769686 30771815 Gm6473 776 0
ENSMUST00000186120.1 1 30794547 30794875 Gm2914 777 0
ENSMUST00000186733.6 1 30802338 30873581 Phf3 778 0
ENSMUST00000195437.1 1 30833547 30836431 Gm37522 790 0
ENSMUST00000192050.1 1 30865503 30868538 Gm37906 792 0
ENSMUST00000232841.1 1 30940301 30949309 Ptp4a1 794 0
ENSMUST00000178317.3 1 30977242 30977968 Gm5698 801 0
ENSMUST00000135273.3 1 30986224 30986953 Gm9458 802 0
ENSMUST00000233331.1 1 30997841 31222617 4931428L18Rik 803 0
ENSMUST00000191364.1 1 31041918 31043675 Gm28644 807 0
ENSMUST00000184868.1 1 31122724 31122862 Gm27362 808 0
ENSMUST00000186448.1 1 31136025 31150105 Gm29128 809 0
ENSMUST00000189666.1 1 31164548 31164773 Gm7893 812 0
ENSMUST00000062560.13 1 31176400 31204725 Lgsn 813 0
ENSMUST00000027230.2 1 31222837 31224288 Pih1d3 816 0
ENSMUST00000104476.1 1 31259592 31259719 Gm26145 817 0
ENSMUST00000185684.1 1 31267325 31267884 Gm4850 818 0
ENSMUST00000185859.1 1 31274891 31275455 Gm28645 819 0
ENSMUST00000178167.2 1 31286944 31287640 Gm6489 820 0
ENSMUST00000189839.1 1 31559539 31561400 Gm10307 821 0
ENSMUST00000095050.4 1 31615148 31616661 Gm19680 822 0
ENSMUST00000157995.1 1 31656631 31656738 Gm23032 823 0
ENSMUST00000117896.2 1 31736056 31736891 Gm7910 824 0
ENSMUST00000027226.11 1 32172713 32658568 Khdrbs2 825 0
ENSMUST00000082754.1 1 32213132 32213239 Gm25814 829 0
ENSMUST00000195178.1 1 32473756 32475565 Gm37999 831 0
ENSMUST00000192993.1 1 32485314 32486942 Gm37110 832 0
ENSMUST00000193099.1 1 32496443 32497988 Gm37911 833 0
ENSMUST00000195252.1 1 32519562 32520999 Gm9839 834 0
ENSMUST00000195761.1 1 32539027 32542440 Gm37792 835 0
ENSMUST00000171322.2 1 32543685 32547294 Gm5415 836 0
ENSMUST00000158864.1 1 32568358 32568421 Gm24732 837 0
ENSMUST00000195241.1 1 32710178 32712648 Gm37426 838 0
